emperor,file,material,denomination,year_l,year_h,mint,officina,emission,weight,diameter,axis,obverse_legend,reverse_legend,class,type,exergue,obverse_desc,reverse_desc,reference,sub_collection__001,sub_collection__002,provenance,code,stock
Diocletian,diocletian,AE,Follis,299,300,Antioch,1st,null,11.705g,27.0mm,6H,IMP C DIOCLETIANVS P F AVG,GENIO POPV-LI ROMANI,,,-/A//ANT,"Head of Diocletian, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Antioch 52a,,,"Ex. Wayne Miller, 1991, Valentinian (Warren) 2017",TDXF,
Constantius I Chlorus,constantiusi12,AE,Follis,299,303,Carthage,null,null,9.75g,28.5mm,12H,CONSTANTIVS NOB CAES,SALVIS AVGG ET CAESS FEL KART,,,-/-//Γ,"Head of Constantius Chlorus, laureate, right","Carthage, wearing long robe, standing front, head left, holding fruits in both hands",RIC VI Carthage 32a,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of)",,
Constantius I Chlorus,constantiusi5,AE,Follis,300,301,Antioch,2nd,null,9.57g,25.0mm,12H,FL VAL CONSTANTIVS NOB CAES,GENIO POPV-LI ROMANI,,,K/(B on V)//ANT,"Head of Constantius Chlorus, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Antioch 55a,,,"Ex. Savoca Blue 10th Auction, Lot 1878",QJQ6,
Constantius I Chlorus,constantiusi9,AE,Follis,300,301,Antioch,10th,null,9.132g,27.9mm,12H,FL VAL CONSTANTIVS NOB CAES,GENIO POPV-LI ROMANI,,,K/(I on V)//ANT,"Head of Constantius Chlorus, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Antioch 55a,,,Ex. Forum Ancient Coins 2019,,
Galerius,galerius11,AE,Follis,300,301,Treveri,2nd,null,6.89g,29.0mm,7H,MAXIMIANVS NOB CAES,MONETA SACRA AV-GG ET CAESS NN,,,-/✱//BTR,Laureate and cuirassed bust of Galerius to right,"Moneta standing front, head to left, holding scales in her right hand and cornucopiae in her left",RIC VI Treveri 433b,,,"Ex. Leu Numismatik Web Auction 10, Lot 1555, Ex. Tetrarchy Collection",,
Galerius,galerius,AE,Follis,301,301,Alexandria,2nd,null,10.01g,25.5mm,12H,GAL VAL MAXIMIANVS NOB CAES,GENIO POPV-LI ROMANI,,,XX/(B on I)//ALE,"Head of Galerius, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and holding cornucopiae in left hand; liquid sometimes flowing from patera",RIC VI Alexandria 33b,,,Ex. FSR Coin Bargain Bin 2017,AEL4,
Maximian,maximian10,AE,Follis,302,303,Antioch,2nd,null,10.87g,29.0mm,6H,IMP C M A MAXIMIANVS P F AVG,GENIO POPV-LI ROMANI,,,-/B//ANT✱,"Head of Maximian, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Antioch 56b,,,"Ex. Dattari Collection, Ex. Jesus Vico Online Auction 5, Lot 213",,
Galerius,galerius8,AE,Follis,302,303,Antioch,7th,null,10.03g,29.0mm,6H,GAL VAL MAXIMIANVS NOB CAES,GENIO POPV-LI ROMANI,,,-/Z//ANT✱,"Head of Galerius, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Antioch 57b,Tetrarchy Mints,,"Ex. Dattari Collection, Ex. Jesus Vico Online Auction 5, Lot 214",,
Constantius I Chlorus,constantiusi10,AE,Follis,303,305,Rome,null,null,9.287g,30.3mm,6H,CONSTANTIVS NOB CAES,SAC MON VRB AVGG ET CAESS NN,,,-/-//R(crescent)T,"Head of Constantius Chlorus, laureate, right","Moneta, draped, standing left, holding scales in right hand and cornucopiae in left hand",RIC VI Rome 112a,Tetrarchy Mints,,Ex. Forum Ancient Coins 2019,,
Constantius I Chlorus,constantiusi6,AE,Follis,303,306,London,null,null,9.24g,26.5mm,7H,CONSTANTIVS NOB C,GENIO POPV–LI ROMANI,,,-/-//-,Laureate and cuirassed bust right,"Genius standing, facing left, head surmounted by a modius, naked except for chlamys over left shoulder, holding patera in right hand and cornucopia in left arm","RIC VI Londinium 37a, Cloke & Toone 3.01.024",,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 143, Ex. James Pickering Romano-Britannic Collection, Ex. CNG Coins",PW9E,
Maximian,maximian2,AE,Follis,304,305,Antioch,6th,null,9.20g,28.0mm,12H,IMP C M A MAXIMIANVS P F AVG,GENIO POPV-LI ROMANI,,,-/ς//ANT•,"Head of Maximian, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Antioch 58b,,,"Ex. Solidus Numismatik Online Auction 21, Lot 600",ZZVN,
Maximinus II Daia,maximinusii5,AE,Follis,305,305,Rome,4th,null,10.61g,28.0mm,6H,MAXIMINVS NOB CAES,SAC MON VRB AVGG ET CAESS NN,,,-/✱//RQ,"Head of Maximinus Daia, laureate, right","Moneta, draped, standing left, holding scales in right hand and cornucopiae in left hand",RIC VI Rome 123b,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of)",,
Maximian,maximian1,AE,Follis,305,306,Heraclea,3rd,null,8.25g,27.5mm,6H,DN MAXIMIANO BAEATISSIMO SEN AVG,PROVIDENTIA DEORVM QVIES AVGG,,,-/-//HTA,"Bust of Maximian, laureate, wearing imperial mantle, right, holding olive branch in right hand and mappa in left hand","Providentia, draped, standing right, extending right hand to Quies; Quies, draped, standing left, holding branch in right hand and leaning on sceptre with left hand; in left field, S; in right field, F",RIC VI Heraclea 27b,Post-Abdication Folles,,"Ex. Frank S. Robinson, Auction 101 Lot 398",VAZA,
Diocletian,diocletian3,AE,Follis,305,306,Serdica,3rd,null,9.89g,27.0mm,6H,D N DIOCLETIANO FELICISSIMO SEN AVG,PROVIDENTIA DEORVM QVIES AVGG,,,-/Γ//•SM•SD•,"Bust of Diocletian, laureate, wearing imperial mantle, right, holding olive branch in right hand and mappa in left hand","Providentia, draped, standing right, extending right hand to Quies; Quies, draped, standing left, holding branch in right hand and leaning on sceptre with left hand; in left field, S; in right field, F next to officina letter",RIC VI Serdica 15a,Post-Abdication Folles,,"Ex. CNG Coins Electronic Auction 422, Lot 601",SPLA,
Maximinus II Daia,maximinusii2,AE,Follis,305,306,Nicomedia,2nd,null,9.14g,27.0mm,6H,GAL VAL MAXIMINVS NOB CAES,GENIO POPVLI ROMANI,,,-/-//SMNB,"Head of Maximinus Daia, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Nicomedia 40,,,"Ex. Savoca 5th Blue Auction, Lot 1476",YV55,
Constantius I Chlorus,constantiusi1,AE,Follis,305,306,London,3rd,null,9.63g,28.5mm,6H,IMP CONSTANTIVS P F AVG,GENIO POPV-LI ROMANI,,,-/-//-,Laureate and cuirassed bust right,"Genius standing left, holding patera and cornucopia","RIC VI Londinium 52a, Cloke & Toone 4.02.010",,,"Ex. CNG Electronic Auction 457, Lot 456, Ex. Northwest Collection",,
Maximian,maximian6,AE,Follis,305,307,London,null,null,9.15g,29.0mm,6H,D N MAXIMIANO BAEATISSIMO SEN AVG,PROVIDENTIA DEORVM QVIESS AVGG,,,-/-//-,Laureate bust in Imperial mantle holding mappa in right hand and olive branch in left hand,"Providentia standing left, and extending hand to personification of Quies, standing right, holding olive branch and leaning on sceptre","RIC VI Londinium 76b, Cloke & Toone 4.01.003 (R)",Post-Abdication Folles,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 147, Ex. James Pickering Romano-Britannic Collection",29WE,
