emperor,file,material,denomination,year_l,year_h,mint,officina,emission,weight,diameter,axis,obverse_legend,reverse_legend,class,type,exergue,obverse_desc,reverse_desc,reference,sub_collection__001,sub_collection__002,provenance,code,stock
Constantine the Great,constantinei31,AE,Follis,313,315,Treveri,1st,null,4.83g,22.0mm,6H,CONSTANTINVS P F AVG,MARTI CON-SERVATORI,,,T/F//PTR,"Bust of Constantine I, laureate, cuirassed, right","Mars, helmeted, draped, cuirassed, cloak spread, standing right, holding reversed vertical spear in right hand and resting left hand on shield",RIC VII Treveri 53,,,"Ex. Ancient & Medieval Coins Canada Auction 2, Lot 239, Ex. TheRed Collection",RCQ6,
Constantine the Great,constantinei32,AE,Follis,313,314,London,1st,null,3.72g,22.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-IC-TO COMITI,,,✱/-//PLN,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, chlamys draped over left shoulder, standing left, raising right hand and holding up globe with left hand","RIC VI Londinium 279, Cloke & Toone N/A",,,"Ex. FSR Auction 110, Lot 330",,
Constantine the Great,constantinei60,AE,Follis,313,314,London,1st,null,3.22g,21.5mm,6H,IMP CONSTANTINVS P AVG,SOLI INV-IC-TO COMITI,,,✱/-//PLN,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, chlamys draped over left shoulder, standing left, raising right hand and holding up globe with left hand","RIC VI Londinium 282, Cloke & Toone 8.01.009",,,Ex. FSR Bargain Bin 2019,,
Constantine the Great,constantinei26,AE,Follis,313,314,Rome,1st,null,2.80g,20.2mm,6H,IMP CONSTANTINVS P F AVG,SOLI IN-V-ICTO COMITI,,,R/F//R✱P,"Bust of Constantine, laureate, draped, cuirassed, right","Sol standing left, chlamys across left shoulder, holding globe and raising right hand",RIC VII Rome 19,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,JAQT,
Constantine the Great,constantinei27,AE,Follis,313,314,Rome,2nd,null,4.05g,20.6mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,R/F//R✱S,"Bust of Constantine, laureate, draped, cuirassed, right","Sol standing left, chlamys across left shoulder, holding globe and raising right hand",RIC VII Rome 19,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,Y2XU,
Constantine the Great,constantinei28,AE,Follis,313,314,Rome,3rd,null,3.36g,20.9mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,R/F//R✱T,"Bust of Constantine, laureate, draped, cuirassed, right","Sol standing left, chlamys across left shoulder, holding globe and raising right hand",RIC VII Rome 19,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,7YV8,
Licinius I,liciniusi11,AE,Follis,313,315,Cyzicus,4th,null,2.70g,22.0mm,6H,IMP C VAL LICIN LICINIVS P F AVG,GENIO AV-GVSTI CMH,,,-/Δ//SMK,"Head of Licinius, laureate, right","Genius, wearing modius, chlamys draped across left shoulder, standing left, holding patera in right hand and cornucopiae in left hand",RIC VII Cyzicus 2,,,Ex. Victor Clark 2019,,
Licinius I,liciniusi12,AE,Follis,313,317,Nicomedia,5th,null,3.41g,23.0mm,6H,IMP C VAL LICIN LICINIVS P F AVG,IOVI CONS-ERVATORI,,,-/∈//SMN,"Head of Licinius, laureate, right","Jupiter, nude, chlamys draped across left shoulder, standing left, holding Victory on globe in right hand and leaning on sceptre with left hand; to left, eagle holding wreath",RIC VII Nicomedia 13,,,"Ex. Savoca Blue Auction 18, Lot 1947",,
Constantine the Great,constantinei16,AE,Follis,314,314,London,1st,null,3.40g,22.0mm,6H,CONSTANTINVS P AVG,SOLI INVIC-TO COMITI,,,S/P//MLN,"Bust of Constantine I, laureate, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand","RIC VII Londinium 56, Cloke & Toone 8.06.010",Constantine Sol Mint Set,,"Ex. Paul Munro-Walker, Ex. Victor Clark 2019",,
Constantine the Great,constantinei30,AE,Follis,314,314,Rome,4th,null,3.61g,21.8mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,R/F//R✱P,"Bust of Constantine, laureate, cuirassed, right","Sol, radiate, chlamys draped over left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 20,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,BYPT,
Licinius I,liciniusi1,AE,Follis,314,314,Rome,4th,null,3.20g,21.0mm,6H,IMP LICINIVS P F AVG,SOLI INV-I-CTO COMITI,,,R/F//R✱Q,"Bust of Licinius, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 22,Rome Mint Sol,,"Ex. Wolf (Ancient & US Coins LLC), Chicago ANA 2013, Valentinian (Warren) 2017",7YM2,
Constantine the Great,constantinei4,AE,Follis,314,315,Rome,2nd,null,3.23g,23.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(R on X)/F//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 27,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2017,BJM3,
Constantine the Great,constantinei64,AE,Follis,314,315,Rome,2nd,null,3.265g,21.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(R on X)/F//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 27,Rome Mint Sol,,Ex. Romae Aeternae Numismatics 2019,,
Constantine the Great,constantinei10,AE,Follis,314,315,Rome,3rd,null,3.67g,20.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(R on X)/F//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 27,Rome Mint Sol,,Ex. Aegean Numismatics 2017,BRBL,
Licinius I,liciniusi3,AE,Follis,314,315,Rome,2nd,null,3.20g,21.0mm,6H,IMP LICINIVS P F AVG,SOLI INV-I-CTO COMITI,,,(R on X)/F//RS,"Bust of Licinius, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 29,Rome Mint Sol,,"Ex. C. Dattari Collection, Ex. Jesús Vico Online Auction 3, Lot 317",XMXH,
Licinius I,liciniusi7,AE,Follis,314,315,Rome,4th,null,2.82g,20.6mm,6H,IMP LICINIVS P F AVG,SOLI INV-I-CTO COMITI,,,(R on X)/F//RQ,"Bust of Licinius, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 30,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,8YYG,
Constantine the Great,constantinei25,AE,Follis,315,315,Rome,1st,null,3.484g,23.6mm,12H,IMP CONSTANTINVS P F AVG,SOLI IN-VI-CTO COMITI,,,S/F//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 33,Rome Mint Sol,Constantine Sol Mint Set,"Ex. FORVM Ancient Coins 2018, Ex. Martin Maridvnvm Collection",S3LL,
Constantine the Great,constantinei7,AE,Follis,315,315,Rome,1st,null,3.47g,21.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,S/F//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 33,Rome Mint Sol,,Ex. eBay 2019,,
Constantine the Great,constantinei22,AE,Follis,315,315,Rome,2nd,null,3.41g,21.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,S/F//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 33,Rome Mint Sol,,"Ex. FSRCoin Bargain List, March 2018",K963,
Licinius I,liciniusi9,AE,Follis,315,315,Rome,2nd,null,2.88g,20.8mm,6H,IMP LICINVS P F AVG,SOLI INV-I-CTO COMITI,,,S/F//RS,"Bust of Licinius, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 35,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,SKR8,
Licinius I,liciniusi2,AE,Follis,315,315,Rome,3rd,null,2.30g,21.5mm,5H,IMP LICINVS P F AVG,SOLI INV-I-CTO COMITI,,,S/F//RT,"Bust of Licinius, laureate, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 36,Rome Mint Sol,,Ex. FSR Coin Bargain Bin 2017,AJGJ,
Constantine the Great,constantinei50,AE,Follis,315,315,Rome,1st,null,3.55g,20.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,C/S//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 40,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2018,,
Constantine the Great,constantinei14,AE,Follis,315,315,Rome,3rd,null,3.00g,22.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,C/S//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 40,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2017,RKXV,
Constantine the Great,constantinei21,AE,Follis,315,315,Rome,3rd,null,3.71g,20.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,C/S//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 40,Rome Mint Sol,Clashed Dies,"Ex. FSRCoin Bargain List, March 2018",8GSC,
Constantine the Great,constantinei48,AE,Follis,315,315,Rome,4th,null,2.99g,19.7mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,C/S//RQ,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 40,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2018,,
Constantine the Great,constantinei33,AE,Follis,315,316,Arelate,1st,null,3.10g,20.3mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,-/F//PARL,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing right, facing left, raising right hand and holding globe in left hand",RIC VII Arelate 63,,,Ex. Carpe Diem Numismatics 2018,,
Constantine the Great,constantinei49,AE,Follis,315,316,Lugdunum,1st,null,3.35g,19mm,6H,IMP CONSTANTINVS P F AVG,SOLI INVIC-TO COMITI,,,TF/✱//PLG,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, standing left, chlamys draped across left shoulder, raising right hand and holding globe in left hand",RIC VII Lugdunum 33,,,Ex. Carpe Diem Numismatics 2018,,
Constantine the Great,constantinei61,AE,Follis,315,316,Lugdunum,1st,null,2.78g,20.5mm,12H,IMP CONSTANTINVS AVG,SOLI INVIC-TO COMITI,,,TF/✱//PLG,"Bust of Constantine I, laureate, cuirassed, right","Sol, radiate, standing left, chlamys draped across left shoulder, raising right hand and holding globe in left hand",RIC VII Lugdunum 34,,,Ex. FSR Bargain Bin 2019,,
Constantine the Great,constantinei38,AE,Follis,316,316,Arelate,3rd,null,3.36g,19.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,M/F//ARLΓ,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing right, head left, raising right hand and holding globe in left hand",RIC VII Arelate 102,Constantine Sol Mint Set,,"Ex. Savoca Blue Auction 9, Lot 1835",,
Constantine the Great,constantinei47,AE,Follis,316,316,Ticinum,1st,null,2.55g,19.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INVI-C-TO COMITI,,,+/✱//PT,"Bust of Constantine I, laureate, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing right, head left, raising right hand and holding globe in left hand",RIC VII Ticinum 45,Constantine Sol Mint Set,,Ex. Carpe Diem Numismatics 2018,,
Constantine the Great,constantinei41,AE,Follis,316,316,Rome,1st,null,3.21g,20.3mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CT COM D N,,,✱/🌙//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding Victory on globe in left hand",RIC VII Rome 49,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2018,,
Constantine the Great,constantinei8,AE,Follis,316,316,Rome,3rd,null,3.72g,19.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI IN-VI-CT COM D N,,,✱/🌙//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding Victory on globe in left hand",RIC VII Rome 49,Rome Mint Sol,,"Ex. Solidus Numismatik Online Auction 21, Lot 607",WSF3,
Constantine the Great,constantinei17,AE,Follis,316,316,Rome,3rd,null,3.72g,19.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI IN-VI-CT COM D N,,,✱/🌙//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding Victory on globe in left hand",RIC VII Rome 49,Rome Mint Sol,CNG Lot,"Ex. CNG Electronic Auction 456, Lot 751 (part of)",,
Constantine the Great,constantinei34,AE,Follis,316,316,Arelate,1st,null,3.04g,18.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI IN-VI-CTO COMITI,,,(T over Star)/F//PARL,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing right, head left, raising right hand and holding globe in left hand",RIC VII Arelate 84,Clashed Dies,,Ex. Savoca eBay 2018,,
Constantine the Great,constantinei6,AE,Follis,316,317,Rome,1st,null,3.10g,20.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,-/-//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding Victory on globe in left hand; to left, captive wearing Phrygian cap",RIC VII Rome 52,Rome Mint Sol,,Ex. Victor Clark 2019,,
Constantine the Great,constantinei42,AE,Follis,316,317,Rome,1st,null,2.94g,21.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,-/-//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding Victory on globe in left hand; to left, captive",RIC VII Rome 55,Rome Mint Sol,,Ex. Romae Aeternae Numismatics 2019,,
Constantine the Great,constantinei44,AE,Follis,317,317,Rome,2nd,null,3.09g,20.1mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,A/-//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 78,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,,
Constantine the Great,constantinei5,AE,Follis,317,317,Rome,4th,null,3.84g,20.5mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,A/-//RQ,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 78,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2017,VU2H,
Constantine the Great,constantinei24,AE,Follis,317,317,Rome,4th,null,3.85g,19.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,A/-//RQ,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 78,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,URR9,
Constantine the Great,constantinei9,AE,Follis,317,317,Treveri,2nd,null,3.70g,20.0mm,12H,CONSTANTINVS P F AVG,SOLI INVIC-TO COMITI,,,T/F//BTR,"Bust of Constantine I, laureate, cuirassed, right","Sol, radiate, chlamys spread, standing right, head left, raising right hand and holding globe in left hand",RIC VII Treveri 135,,,Ex. Carpe Diem Nvmismatics 2017,RXWB,
Constantine the Great,constantinei15,AE,Follis,317,318,Rome,1st,null,4.00g,21.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(wreath)/-//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 97,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2017,UQCE,
Constantine the Great,constantinei40,AE,Follis,317,318,Rome,3rd,null,3.25g,21.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(wreath)/-//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 97,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,,
Constantine the Great,constantinei23,AE,Follis,317,318,Ticinum,2nd,null,2.64g,19.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INVI-C-TO COMITI,,,P/-//ST,"Bust of Constantine I, laureate, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Ticinum 68,,,"Ex. FSR Auction 104, Lot 398",4FXH,
Constantine the Great,constantinei46,AE,Follis,318,318,Rome,2nd,null,3.25g,20.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(T in wreath)/-//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 136,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2018,,
Constantine the Great,constantinei43,AE,Follis,318,318,Rome,3rd,null,3.20g,20.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(T in wreath)/-//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 136,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2018,,
Constantine the Great,constantinei56,AE,Follis,318,318,Siscia,5th,null,3.26g,20.0mm,12H,IMP CONSTANTINVS AVG,VICT LAETAE PRINC PERP,,,-/-//ϵSIS,"Cuirassed bust left, wearing crested helmet decorated with two large stars and vine scroll, holding spear over right shoulder","Two Victories standing facing one another, holding shield inscribed VOT/PR in two lines over decorated altar",RIC VII Siscia 49,Constantine VLPP,,"Ex. CNG Coin Shop February, 2018",,
Constantine the Great,constantinei66,AE,Follis,319,319,London,1st,null,3.29g,17.7mm,6H,IMP CONSTANTI-NVS AVG,VICTORIAE LAETAE PRINC PERP,,,(column)//PLN,"Bust of Constantine I, wearing high-crested helmet, cuirassed, left, spear across right shoulder","Two Victories, winged, draped, facing each other, holding a shield inscribed VOT/PR supported by a column","RIC VII Londinium 156, Cloke & Toone 9.01.004",Constantine VLPP,,Ex. Mike Vosper 2019,,
Constantine the Great,constantinei62,AE,Follis,319,319,Arelate,3rd,null,2.90g,17.0mm,12H,IMP CONSTAN-TINVS AVG,VICTORIAE LAETAE PRINC PERP,,,-/-//TARL,"Bust of Constantine I, wearing high-crested helmet, cuirassed, left, spear across right shoulder","Two Victories, winged, draped, facing each other, holding a shield inscribed VOT/PR supported by a column",RIC VII Arelate 192,Constantine VLPP,,Ex. Victors Imperial Coins 2019,,
Constantine the Great,constantinei65,AE,Follis,319,319,Treveri,1st,null,3.384g,18.8mm,12H,CONSTANTINVS MAX AVG,VICTORIAE LAET PRIN PERP,,,✱//•PTR,"Bust of Constantine I, laureate, helmeted, cuirassed, right","Two Victories, winged, draped, standing facing each other, holding a shield inscribed VOT/PR supported by an altar",RIC VII Treveri 226,Constantine VLPP,,"Ex. Forum (2019), Ex. Beast Coins VLPP Collection, Ex. Forum (2003), Ex. Aiello Collection",,
Licinius II,liciniusii1,AE,Follis,317,320,Nicomedia,4th,null,3.10g,20.0mm,12H,D N VAL LICIN LICINIVS NOB C,PROVIDEN-TIAE CAESS,,,(palm branch left)/(• on Δ)//SMN,"Bust of Licinius II, laureate, draped, cuirassed, right","Jupiter, nude, chlamys draped across left shoulder, standing left, holding Victory on globe in right hand and leaning on sceptre with left hand",RIC VII Rome 97,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of), Ex. Classical Coins",,
Licinius I,liciniusi4,AE,Follis,321,323,Antioch,7th,null,3.45g,19.0mm,12H,IMP C VAL LICIN LICINIVS P F AVG,IOVI CONS-ERVATORI,,,-/(X on IIΓ)//SMANTZ,"Bust of Licinius, radiate, draped, cuirassed, right","Jupiter, nude, chlamys draped across left shoulder, standing left, holding Victory on globe in right hand and leaning on sceptre with left hand; to left, eagle with wreath; to right, captive",RIC VII Rome 97,,,Ex. Carpe Diem Nvmismatics 2018,AX6Z,
Constantine II,constantineii2,AE,Follis,321,324,Siscia,2nd,null,2.79g,20.5mm,6H,CONSTANTINVS IVN NOB C,CAESARVM NOSTRORVM,,,-/-//BSIS(sunrise),"Head of Constantine II, laureate, right",VOT/X within a laurel wreath,RIC VII Siscia 182,,,"Ex. Frank S. Robinson Auction 107, Lot 381",,
Constantine II,constantineii1,AE,Follis,323,324,Treveri,2nd,null,3.89g,20.0mm,7H,CONSTANTINVS IVN NOB C,CAESARVM NOSTRORVM,,,-/-//STR,Laureate and cuirassed bust right,Laurel wreath enclosing VOT X,RIC VII Treveri 433,Clashed Dies,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 271, Ex. Severus Alexander Collection",,
Constantine the Great,constantinei54,AE,Follis,323,324,Treveri,2nd,null,2.97g,19.96mm,6H,CONSTAN-TINVS AVG,SARMATIA DEVICTA,,,-/-//STR(crescent),"Head of Constantine I, laureate, right","Victory, winged, draped, advancing right, holding trophy in right hand and pushing seated captive with left hand",RIC VII Treveri 435,,,Ex. Marc R. Breitsprecher Coins 2019,,
Fausta,fausta1,AE,Follis,324,325,Lugdunum,1st,null,3.180g,20.1mm,12H,FLAV • MAX • FAVSTA AVG,SALVS REI-PVBLICAE,,,-/-//PLG,"Bust of Fausta, waved hair, mantled, right","Salus, veiled, draped, standing front, head left, holding two children in her arms",RIC VII Lugdunum 235,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of), Ex. Forum Ancient Coins",,
Constantius II,constantiusii10,AE,Follis,326,326,Treveri,2nd,null,2.51g,17.5mm,6H,FL IVL CONSTANTIVS NOB C,PROVIDEN-TIAE CAESS,,,-/-//PTR(dot on crescent),"Bust of Constantius II, laureate, draped, cuirassed, left","Camp gate with two turrets, without doors; star above",RIC VII Treveri 480,,,Ex. Mike Vosper 2019,,
Constantine II,constantineii4,AE,Follis,326,326,Treveri,2nd,null,3.15g,20.0mm,6H,CONSTANTINVS IVN NOB C,PROVIDEN-TIAE CAESS,,,-/-//STR(dot on crescent),"Bust of Constantine II, laureate, draped, cuirassed, left","Camp gate with two turrets, without doors; star above",RIC VII Treveri 479,,,"Ex. Toronto Coin Expo October 2019, Ex. George Cook",,
Constantine the Great,constantinei2,AE,Follis,328,328,Constantinople,2nd,null,3.08g,19.74mm,7H,CONSTANTI-NVS MAX AVG,CONSTANTINI-ANA DAFNE,,,B/-//CONS,"Bust of Constantine I, rosette-diademed, draped, cuirassed, facing right","Victory, winged, draped, seated left on cippus, head right, holding palm in each hand; before her, trophy; at foot of trophy, kneeling captive, head turned, being spurned by Victory",RIC VII Constantinople 35,,,Ex. Agora Auctions 67 Lot 322,MXY4,
Constantius II,constantiusii5,AE,Follis,328,329,Siscia,4th,null,3.22g,19.00mm,6H,FL IVL CONSTANTIVS NOB C,PROVIDEN-TIAE CAESS,,,-/-//ΔSIS(two crescents),"Laureate, draped, and cuirassed bust left",Camp gate with two turrets; star above,RIC VII Siscia 217,,,"Ex. CNG Auction 262, Lot 394, Ex. Elliott-Kent Collection",,
Constantius II,constantiusii11,AE,Half-Follis,330,331,Arelate,2nd,null,2.39g,17.0mm,12H,FL IVL CONSTANTIVS NOB C,GLOR-IA EXERC-ITVS,,,✱//SCONST,"Bust of Constantius II, laureate, draped, cuirassed, right","Two soldiers, helmeted, draped, cuirassed, standing facing each other, each holding spear in outer hand and resting inner hand on shield; between them, two standards",RIC VII Arelate 347,,,"Ex. Ancient & Medieval Coins Canada Auction 2, Lot 257, Ex. TheRed Collection",,
Constantinople Commemorative,commem4,AE,Half-Follis,330,331,Lugdunum,1st,null,2.87g,16.0mm,12H,CONSTANTINOPOLIS,-,,,-/-//•PLG,"Bust of Constantinopolis, laureate, helmeted, wearing imperial cloak, left, holding reversed spear in right hand","Victory, winged, draped, standing left on prow, holding spear in right hand and shield in left hand",RIC VII Lugdunum 246,,,Ex. YOC (Pete),JWDZ,
Constantinople Commemorative,commem5,AE,Half-Follis,330,333,Thessaloniki,4th,null,2.60g,19.0mm,12H,CONSTANTINOPOLIS,-,,,-/-//SMTSΔ,"Bust of Constantinopolis, laureate, helmeted, wearing imperial cloak, left, holding reversed spear in right hand","Victory, winged, draped, standing left on prow, holding spear in right hand and shield in left hand",RIC VII Thessalonica 188246,,,Ex. Victor's Imperial Coins 2019,,
Rome Commemorative,commem3,AE,Half-Follis,332,332,Arelate,1st,null,2.76g,17.0mm,12H,VBRS ROMA,-,,,-/-//PCONST,"Bust of Roma, helmeted, wearing imperial cloak, left","She-wolf, standing left, suckling twins; above, two stars with palm branch left in between",RIC VII Arelate 362,,,Ex. YOC (Pete),M84G,
Rome Commemorative,commem2,AE,Half-Follis,332,333,Treveri,1st,null,2.02g,18.5mm,6H,VRBS ROMA,-,,,-/-//TR•P,"Bust of Roma, helmeted, wearing imperial cloak, left","She-wolf, standing left, suckling twins; above, two stars",RIC VII Treveri 542,,,Ex. YOC (Pete),5QWU,
Constantinople Commemorative,commem6,AE,Half-Follis,332,333,Treveri,1st,null,2.20g,17.24mm,12H,CONSTAN-TINOPOLIS,-,,,-/-//TRP✱,"Bust of Constantinopolis, laureate, helmeted, wearing imperial cloak, left, holding reversed spear in right hand","Victory, winged, draped, standing left on prow, holding spear in right hand and shield in left hand",RIC VII Treveri 548,,,Ex. Marc R. Breitsprecher Coins 2019,,
Constantinople Commemorative,commem1,AE,Half-Follis,334,335,Aquileia,2nd,null,2.46g,18.0mm,6H,CONSTANTINOPOLIS,-,,,-/-//AQS,"Bust of Constantinopolis, laureate, helmeted, wearing imperial cloak, left, holding reversed spear in right hand","Victory, winged, draped, standing left on prow, holding spear in right hand and shield in left hand",RIC VII Aquileia 123,,,Ex. YOC (Pete),DP6A,
Constantius II,constantiusii7,AE,Follis,347,348,Antioch,8th,null,1.95g,16.5mm,6H,D N CONSTAN-TIVS P F AVG,VOT/XX/MVLT/XXX,,,-/-//SMANH,"Head of Constantius II, pearl-diademed, right",Legend within a wreath,RIC VIII Antioch 113,,,"Ex. FSR Auction 109, Lot 358",88SJ,
